date,GSPCprem
1985-01-02,90.98980203204134
1985-01-03,98.52663112240553
1985-01-04,103.81690165128805
1985-01-07,116.5227598640981
1985-01-08,121.09273446717816
1985-01-09,93.55493941905192
1985-01-10,86.87538351514996
1985-01-11,83.67553572266162
1985-01-14,65.47027435765152
1985-01-15,55.61860941692145
1985-01-16,52.28347344720087
1985-01-17,49.25228549494467
1985-01-18,40.53052921836562
1985-01-22,14.927013707757613
1985-01-23,15.471347106196493
1985-01-24,16.347483317047114
1985-01-25,15.225970026286529
1985-01-28,29.251546351820416
1985-01-29,9.198735509730053
1985-01-30,8.93266776252516
1985-01-31,-2.0377063753343077
1985-02-01,-2.973889777523145
1985-02-04,-15.977338549749227
1985-02-05,-18.809767089750252
1985-02-06,-12.638552887604906
1985-02-07,-29.30922803236729
1985-02-08,-33.510688678669055
1985-02-11,-33.01469412566364
1985-02-13,-46.73567969966432
1985-02-14,-25.354192044059303
1985-02-15,-23.328190536116665
1985-02-19,-21.273153713608856
1985-02-20,-22.413746163599043
1985-02-21,-22.29037734858652
1985-02-22,-14.223290501838237
1985-02-25,-6.304471022324261
1985-02-26,-19.1465223174636
1985-02-27,-8.782043746402175
1985-02-28,-7.941091454033232
1985-03-01,-25.23750701108183
1985-03-04,-28.14411924989814
1985-03-05,-29.75225200863295
1985-03-06,-24.511624756385523
1985-03-07,-16.700220483852952
1985-03-08,-6.6309086825014845
1985-03-11,0.623445365251964
1985-03-12,-2.851903482284097
1985-03-13,8.113491489628345
1985-03-14,11.890971880813638
1985-03-15,23.415611655735518
1985-03-18,17.48898002516663
1985-03-19,1.605031446647077
1985-03-20,1.338591860161662
1985-03-21,6.948896847815902
1985-03-22,11.109798341985549
1985-03-25,27.207550604520577
1985-03-26,16.066427513362033
1985-03-27,-1.7069431982936214
1985-03-28,-6.427868746433625
1985-03-29,-22.008136523899687
1985-04-01,-22.628553201026023
1985-04-02,-11.114683171355296
1985-04-03,-2.8001353873978987
1985-04-04,2.4116302227896487
1985-04-08,9.337707392873728
1985-04-09,16.891704456412242
1985-04-10,24.404741519878407
1985-04-11,19.55585925725376
1985-04-12,12.700261243025075
1985-04-15,15.940580587011251
1985-04-16,21.606468972868882
1985-04-17,30.122851587458868
1985-04-18,47.53223450878494
1985-04-19,45.195746790777854
1985-04-22,44.52701647995732
1985-04-23,29.959175513582792
1985-04-24,31.951518452996964
1985-04-25,18.516487137241842
1985-04-26,25.124461805047922
1985-04-29,37.935237642348554
1985-04-30,54.918966553362225
1985-05-01,59.22016420484796
1985-05-02,59.45817925992691
1985-05-03,53.34378031901956
1985-05-06,63.69326940860749
1985-05-07,49.54641637781647
1985-05-08,45.873840015032734
1985-05-09,34.956061567640766
1985-05-10,11.983095782453052
1985-05-13,-3.1808280155892996
1985-05-14,12.800177393796861
1985-05-15,4.333927571862807
1985-05-16,2.501373843409663
1985-05-17,-11.998286649732698
1985-05-20,-25.562047568819402
1985-05-21,-7.483702427598154
1985-05-22,-3.876591089656211
1985-05-23,5.204268420532481
1985-05-24,3.074999484563387
1985-05-28,14.32663772659237
1985-05-29,19.42249121653731
1985-05-30,20.862566138392815
1985-05-31,7.4603184791025186
1985-06-03,6.480884500082432
1985-06-04,8.194771904936653
1985-06-05,3.2340652825536775
1985-06-06,-7.037066377839699
1985-06-07,8.321047095749877
1985-06-10,13.788601301436877
1985-06-11,18.958146573350028
1985-06-12,22.62348048409353
1985-06-13,48.3024094074096
1985-06-14,43.15173245284382
1985-06-17,42.102225290451514
1985-06-18,41.62900256999984
1985-06-19,38.38575328655579
1985-06-20,27.171494450083635
1985-06-21,4.294276889837935
1985-06-24,10.80602808009893
1985-06-25,9.190271279489856
1985-06-26,-9.630265300589278
1985-06-27,-14.316122979106101
1985-06-28,-12.118267206287676
1985-07-01,-8.801110954674384
1985-07-02,-10.15547072736905
1985-07-03,-11.749467504572092
1985-07-05,-33.59195578639569
1985-07-08,-33.49218886710581
1985-07-09,-20.150302492819293
1985-07-10,-32.203739075365306
1985-07-11,-38.0116835007165
1985-07-12,-41.953362187560494
1985-07-15,-40.1034963812787
1985-07-16,-52.973746921324604
1985-07-17,-65.5639108831516
1985-07-18,-53.45105871210065
1985-07-19,-47.805996028218566
1985-07-22,-39.28529297460921
1985-07-23,-39.60486042612294
1985-07-24,-34.8629475942318
1985-07-25,-34.99333688733245
1985-07-26,-32.332860870888624
1985-07-29,-12.123444605527144
1985-07-30,-13.598117654526257
1985-07-31,-21.673421379484253
1985-08-01,-31.119954892544765
1985-08-02,-30.725694164197474
1985-08-05,-27.678729643956327
1985-08-06,-5.344314075879961
1985-08-07,-3.8667741455709366
1985-08-08,-19.00576086842853
1985-08-09,-26.218517749043105
1985-08-12,-31.485687625564843
1985-08-13,-34.358706349500736
1985-08-14,-33.459013297968944
1985-08-15,-41.56123345885306
1985-08-16,-32.84396083305859
1985-08-19,-25.760026687611372
1985-08-20,-44.351918002301396
1985-08-21,-35.068223397113485
1985-08-22,-34.62882101791439
1985-08-23,-44.983111885513026
1985-08-26,-44.39300905866007
1985-08-27,-40.936879318921264
1985-08-28,-28.143358602378306
1985-08-29,-34.332995346907126
1985-08-30,-31.108514298636486
1985-09-03,-36.094377452128505
1985-09-04,-39.07220308532003
1985-09-05,-38.58682151713249
1985-09-06,-40.40917760660355
1985-09-09,-40.99374226882778
1985-09-10,-23.50916039445336
1985-09-11,-1.2314176790789793
1985-09-12,17.488323882886665
1985-09-13,20.286646749946364
1985-09-16,18.41047933166708
1985-09-17,25.494189688401747
1985-09-18,29.774807944938544
