date,credit_rating,gdp,house_mkt,inflation,monetary,oil,unemp,usd
1985-03-29,0.9239583435164542,0.565549120100128,0.260868598129419,2.682237551063352,2.3691141423185527,3.5330517319781407,0.7713129367157292,5.0338827220342
1985-06-28,0.25464013000557073,2.21206963174431,0.1991238550378335,2.665964720529467,2.1451156340256823,2.7325457569971707,1.922335320826166,2.191312627176
1985-09-30,1.2509128636343725,1.0030003474607443,0.5449518398956685,3.347399383159709,3.1294855506325616,3.946086475662794,1.2836180525913692,2.2086999228042985
1985-12-31,0.317460317460317,0.880404665930473,0.60036543983294,2.2231942804104254,2.0798894483824015,3.061991163941056,1.3930039097794158,2.5198239639479554
1986-03-31,0.317460317460317,1.1423746399733865,0.2182163187855785,3.4720454825377094,2.163317447951149,5.591348290641315,2.014311874165978,2.448523182812751
1986-06-30,0.3979019714234035,0.9307785333481424,0.339175141166363,2.627670171399218,1.4712044127997899,3.911680043435695,1.7177558421520178,2.0156781869974214
1986-09-30,0.3979019714234035,0.4077824458974785,0.5789286648217036,1.8651388562141846,1.9239883690935295,3.773941428470411,1.6647641216152547,3.842643455264145
1986-12-31,0.2978850163836755,0.6467409197329865,0.41348356938247677,2.1696014843895206,1.5615728142717515,4.1467218731421776,1.1766209205955624,2.096578782592202
1987-03-31,0.2978850163836755,0.636132315521625,0.4134507528151475,3.0610039323421927,2.667829176170672,3.687727531694639,1.7397560174840452,3.127056853360855
1987-06-30,0.2978850163836755,1.0018279094386542,0.38963708218654647,1.944638367176819,1.435260071737843,2.711572831789226,1.2584842629473179,3.333587211534425
1987-09-30,0.3352490421455935,1.002523438954632,0.3352490421455935,2.0146601631609142,1.8940906254547434,2.61449213358632,1.6136169372373304,2.6457154015861453
1987-12-31,0.26157000729166124,1.258678816801535,0.3352490421455935,3.9944371812377293,3.6049050621113126,2.823364922275399,2.048236265740465,6.0066015519942
1988-03-31,0.26157000729166124,0.7088348292267282,0.6029453576656165,2.6181423588851516,2.1029197588941204,2.071752376598808,1.4285777937235835,2.731253109643695
1988-06-30,0.2931769722814495,0.8591921650131336,0.2241695536987975,2.8334728061645666,2.329773570492144,2.216647426722242,1.8764800625286326,1.4970809817042046
1988-09-30,0.39015113675889324,1.048120494886696,0.2241695536987975,2.340160355213513,2.3974374980058353,1.6457550689326315,2.0679075814116468,1.514605694767285
1988-12-30,0.404279065349544,2.109818573922441,0.48927161044062306,3.3435861942572576,2.79846991515642,2.55243072398669,1.330059927978474,2.04419210988704
1989-03-31,0.2950987939440595,1.5072200060652694,0.26530994532874425,3.957462723324432,2.8744122164483823,2.9862605091953873,0.9303311259970065,1.796150559519269
1989-06-30,0.7419559232684305,1.518577782021715,0.584714535746786,5.09638450192487,2.77520321972001,1.7366443439633243,0.8191677706600848,2.02225064192123
1989-09-29,0.276538647368587,0.267959992866305,0.3032928942807625,2.375045005760252,2.08561127215546,2.148684402205695,1.2763084159369904,1.5304939014067749
1989-12-29,0.7185511430411959,0.87359295186788,0.563553373728437,1.338300696486515,1.932241383651197,3.9292101972967934,0.6646791572486672,0.7087723337801293
1990-03-30,0.5058949267613393,0.5958721836652672,0.6380027739251,2.799112360733804,3.0446515286049065,1.7831205094892626,1.565009388421592,1.5772623091264737
1990-06-29,0.300515168860904,1.4255838632525055,0.8333920557364018,3.8332424783689163,2.193805414044615,1.9936034050579727,1.5227427738765131,1.853548909183308
1990-09-28,0.6497090337189619,1.0583536752067384,0.3151591553734635,3.371489951979197,2.0910580169399826,8.079591805753108,1.3475976437386632,1.9895036673092128
1990-12-31,1.3173610620411167,1.7720523315976275,0.6873780294095693,3.4499300199360645,3.3824495598306163,4.799170217429765,3.108206464094475,1.5885017348500785
1991-03-28,0.5184982792298385,0.4807692307692305,0.399166955918084,1.4360813871912077,2.344801473387272,1.7366027665046166,0.4807692307692305,0.399166955918084
1991-06-28,0.43547661005655725,0.9609842560270873,0.746026597469995,0.8024437828529265,1.3763519911073572,1.374905985258617,1.515904084039696,1.090373413512613
1991-09-30,0.43547661005655725,0.7195712156700864,0.34817805219619347,1.375672324360386,1.4546144466938207,1.4951913038312812,1.443597121473611,1.090373413512613
1991-12-31,0.5894981328475,1.13084915296863,0.8272971183157912,2.6924286839572202,2.1255894638058437,1.862269990949001,1.4988624523077383,1.090373413512613
1992-03-31,1.3800224780061514,0.48775757275262777,0.4116688726205603,2.173701025275539,1.4562722124940608,1.1207413424838761,2.0145731726398095,0.7236535598723165
1992-06-30,0.7716585930594722,0.233199067203731,0.291721885402427,2.0802486646245657,1.0891908972416338,1.764657266264615,1.412248673554314,0.360655737704918
1992-09-30,0.76230076230076,1.2102627703996598,0.291721885402427,2.946772104647142,1.7869938876992268,1.607189892178685,4.192453621005462,0.360655737704918
1992-12-31,0.76230076230076,0.6920731684023382,0.3887449092928545,2.805676579176437,1.363545886218096,0.9679235719840077,2.4966385846795385,0.3887449092928545
1993-03-31,0.6063454328654017,1.110095818609513,0.30937793109768674,1.9185412770957826,1.452562293842195,2.783696963703675,2.03455856336157,0.3887449092928545
1993-06-30,0.2720751916893395,0.928880439180074,0.7323061162419324,2.613455889388243,1.4718937410808195,2.258645770330092,1.4891585329525574,0.3787878787878785
1993-09-30,0.3951149425287355,1.6853135251876203,0.7323061162419324,2.3606811311485716,1.382638191181367,1.7889913681865837,1.4298492514574015,0.3804911795226565
1993-12-31,0.4310344827586205,0.5778941958225717,1.0600049385405375,1.788027843380601,0.7956243525611982,1.29148440481517,1.9205496644459576,0.7595088025889045
