date,dp,dy,ep,de,rvol,bm,ntis,tbl,lty,ltr,tms,dfy,dfr,infl
1988-03-31,-3.3647497287730466,-3.318058638540934,-2.633779459326458,-0.7309702694465887,0.0127841242,0.5075299538,0.0060800302,0.057,0.0901,0.039231428,0.0331,0.011800000000000005,0.006937219000000001,0.0095320624
1988-06-30,-3.388842573347275,-3.33394421254505,-2.535372806313768,-0.853469767033507,0.0083766583,0.4711188723,-0.0053979214,0.0646,0.0917,0.0098050458,0.0271,0.011400000000000007,0.0068023630000000005,0.0128755365
1988-09-30,-3.3583987461256246,-3.3642292387982486,-2.4817854913249597,-0.8766132548006649,0.0044936998,0.4775404537,-0.0100015137,0.0724,0.0917,0.0228115983,0.019299999999999998,0.010800000000000004,0.0038406877000000013,0.0152542373
1988-12-30,-3.3493461268753166,-3.3282038441796558,-2.459030881404422,-0.8903152454708945,0.0036076323,0.465283574,-0.0214057475,0.0807,0.0918,0.0217128795,0.011100000000000013,0.010800000000000004,-0.0078354888,0.0058430718
1989-03-31,-3.3828500928093015,-3.322928923447726,-2.4692600377454212,-0.9135900550638802,0.0034271061,0.4686914136,-0.0231021339,0.0882,0.0929,0.0142614769,0.004699999999999996,0.0087,-0.0007770046000000006,0.0149377593
1989-06-30,-3.4232643481106444,-3.3478104416367294,-2.5343511571837896,-0.8889131909268548,0.0034582035,0.440562937,-0.0239366405,0.0815,0.0821,0.1147526575,0.0006000000000000033,0.009300000000000003,-0.012875100299999997,0.0147179068
1989-09-29,-3.4820853555374076,-3.3885722139659262,-2.6904486111213504,-0.7916367444160572,0.0029494864,0.3992097504,-0.0257365885,0.0775,0.0847,-0.0008215812,0.007199999999999998,0.008999999999999994,0.0060362806,0.007252216
1989-12-29,-3.4647177455761864,-3.452618814982635,-2.7377745518509062,-0.7269431937252802,0.0074042095,0.3904547436,-0.0123231067,0.0763,0.0816,0.0453680226,0.005299999999999999,0.009599999999999997,-0.0099539467,0.0088
1990-03-30,-3.4023747527288735,-3.441206181165264,-2.752840315900938,-0.6495344368279357,0.0049329271,0.4713339564,-0.0102754607,0.079,0.0889,-0.0409527073,0.009900000000000006,0.00839999999999999,0.019597932100000003,0.0206185567
1990-06-29,-3.4241674130531323,-3.3723476937402928,-2.8237614778482434,-0.6004059352048889,0.0036790699,0.4429494323,-0.0004741595,0.0773,0.0864,0.0439323191,0.00910000000000001,0.009599999999999997,-0.0032645126999999996,0.0093240093
1990-09-28,-3.2527717430425764,-3.409612106507543,-2.6445946056040155,-0.6081771374385609,0.0091110453,0.520289666,0.0013916129,0.0736,0.0914,-0.0203186155,0.017799999999999996,0.01079999999999999,0.009945165200000002,0.0215550423
1990-12-31,-3.30771134106432,-3.231700729357712,-2.73917585313008,-0.5685354879342404,0.0077272896,0.4844968599,-0.0018284693,0.0674,0.0844,0.0824342524,0.017,0.013800000000000007,-0.022955379900000003,0.0082893745
1991-03-28,-3.4334809630504637,-3.305727541438686,-2.8858513151730736,-0.5476296478773901,0.0069999484,0.4571255997,0.003262045,0.0591,0.0844,0.0198999482,0.025300000000000003,0.0116,0.018476192,0.0089686099
1991-06-28,-3.4195510107668445,-3.430430294897331,-2.9508448393040596,-0.4687061714627849,0.0048378748,0.458243743,0.0140821721,0.0557,0.086,0.0076118,0.030299999999999994,0.009499999999999995,0.008310063099999999,0.0074074074
1991-09-30,-3.453079776087511,-3.409068562804394,-3.0803230277254317,-0.3727567483620793,0.0036176972,0.441531837,0.0229915359,0.0522,0.079,0.0820558841,0.026799999999999997,0.009000000000000008,-0.009086368400000003,0.0088235294
1991-12-31,-3.5316202026998593,-3.458962626618393,-3.2625900636226404,-0.26903013907721895,0.0052241858,0.4203444173,0.0315377294,0.0407,0.073,0.0725370127,0.032299999999999995,0.009500000000000008,-0.013339805400000002,0.0051020408
1992-03-31,-3.4890986759482137,-3.52175344511514,-3.216253488993091,-0.2728451869551227,0.0022554511,0.4021060342,0.0416282636,0.0404,0.0797,-0.0366070667,0.039299999999999995,0.008999999999999994,0.021498409100000004,0.0101522843
1992-06-30,-3.5003862946955655,-3.489423298577261,-3.1754600490714138,-0.32492624562415173,0.0031040039,0.3920423538,0.0429366245,0.0366,0.0765,0.0464576576,0.0399,0.008300000000000002,-0.003395183599999997,0.0064608758
1992-09-30,-3.5177096836353114,-3.4943170873137857,-3.1424113344879876,-0.37529834914732385,0.002139251,0.3976569721,0.0411349836,0.0291,0.071,0.0661318432,0.04189999999999999,0.006999999999999992,-0.0157578789,0.0078459344
1992-12-31,-3.5604908214908733,-3.5185167861811424,-3.12781224669454,-0.4326785747963333,0.0019237884,0.3941096142,0.03871373,0.0322,0.0726,0.0053172329,0.0404,0.008300000000000002,0.008474312900000001,0.0042462845
1993-03-31,-3.588904593166543,-3.552929652906479,-3.125251722835533,-0.46365287033100966,0.0025004412,0.3336135264,0.0369950189,0.0295,0.0702,0.0666264215,0.0407,0.005699999999999997,-0.012758321500000003,0.0119802678
1993-06-30,-3.582857713924109,-3.5853848711103646,-3.148766374285765,-0.4340913396383441,0.0023959182,0.3259312476,0.0410478926,0.0307,0.0668,0.0573696694,0.03609999999999999,0.00739999999999999,-0.0206480047,0.0055710306
1993-09-30,-3.601650202706259,-3.583177177228479,-3.112872716162031,-0.48877748654422826,0.0013612038,0.3223518215,0.0417473699,0.0295,0.0627,0.0638606045,0.03320000000000001,0.0068000000000000005,-0.0204059604,0.0048476454
1993-12-31,-3.613281084341952,-3.597027943918766,-3.0591209218721986,-0.5541601624697532,0.0011602191,0.3052672229,0.0457468047,0.0306,0.0654,-0.0145817373,0.0348,0.007599999999999996,0.0073934249,0.0048242591
1994-03-31,-3.5576501012139685,-3.602997810684573,-2.9769977678188986,-0.5806523333950699,0.002341705,0.3074838051,0.0419154208,0.035,0.0725,-0.0591484683,0.03749999999999999,0.006499999999999992,0.012214595000000002,0.0096021948
1994-06-30,-3.5442566713944177,-3.547627309613262,-2.869588491200144,-0.6746681801942738,0.0029212785,0.3084170767,0.0340103517,0.0414,0.0774,-0.03284623,0.036,0.0068000000000000005,0.009034672899999999,0.0054347826
