date,credit_rating_ni,gdp_ni,house_mkt_ni,inflation_ni,monetary_ni,oil_ni,unemp_ni,usd_ni,credit_rating_wi,gdp_wi,house_mkt_wi,inflation_wi,monetary_wi,oil_wi,unemp_wi,usd_wi
1985-03-29,0.9380103965691764,0.241647404916999,0.218627022299956,1.8069596452872234,1.7664777205349154,1.426864046884951,0.6733426090351364,0.0,0.9099062904637321,0.8894508352832571,0.303110173958882,3.55751545683948,2.97175056410219,5.63923941707133,0.869283264396322,5.0338827220342
1985-06-28,0.2229114169412675,0.0,0.1991238550378335,0.6449466889203685,1.2661058159373,1.3037957391556565,0.844070543958202,0.0,0.286368843069874,2.21206963174431,0.0,4.686982752138565,3.024125452114065,4.161295774838685,3.00060009769413,2.191312627176
1985-09-30,0.0,0.4411864859956405,0.4616998950682055,1.3352937906961984,2.480764452003425,1.9142503201824976,0.6720364335297435,0.0,1.2509128636343725,1.5648142089258479,0.6282037847231314,5.35950497562322,3.7782066492616986,5.97792263114309,1.8951996716529949,2.2086999228042985
1985-12-31,0.0,0.809718868575366,0.0,1.6276723660517944,1.055576601432387,2.0699800583594827,1.218564807991831,0.0,0.317460317460317,0.95109046328558,0.60036543983294,2.8187161947690553,3.1042022953324153,4.05400226952263,1.5674430115670006,2.5198239639479554
1986-03-31,0.0,0.384263494967978,0.2182163187855785,1.5672598131208737,1.783415500932767,4.250655475984385,1.1799053716923655,0.193162062970832,0.0,1.900485784978795,0.0,5.376831151954545,2.543219394969531,6.932041105298246,2.84871837663959,4.70388430265467
1986-06-30,0.3979019714234035,0.39282100048275004,0.396154284385061,1.171634343469256,1.1800485983122195,3.15240576539456,0.7856420009655005,0.0,0.0,1.468736066213535,0.282195997947665,4.08370599932918,1.7623602272873602,4.67095432147683,2.649869683338535,2.0156781869974214
1986-09-30,0.0,0.4077824458974785,0.2187975646879755,0.826296584569873,1.6355011461303055,1.471957585858881,1.0514544794923675,0.0,0.0,0.0,0.9390597649554315,2.9039811278584953,2.212475592056754,6.075925271081941,2.2780737637381416,3.8426434552641453
1986-12-31,0.0,0.396664686279775,0.2248728979272585,0.7364399061921215,0.41308893720712747,2.278825079078465,0.5482238669122544,0.0,0.2978850163836755,0.8968171531861979,0.602094240837695,3.60276306258692,2.7100566913363755,6.01461866720589,1.8050179742788703,2.0965787825922026
1987-03-31,0.0,0.0,0.2024701356549905,2.08455725531969,1.88563533773533,1.022030976564029,1.2764508217350454,0.0,0.0,0.636132315521625,0.6244313699753045,4.037450609364695,3.4500230146060145,6.35342408682525,2.203061213233045,3.127056853360855
1987-06-30,0.0,0.1911523757509555,0.4746494066882415,0.573457127252865,0.42847707909507604,1.462541332240667,0.4018803450996145,0.0,0.0,1.812503443126353,0.3046247576848515,3.3158196071007735,2.44204306438061,3.960604331337785,2.1150881807950213,3.333587211534425
1987-09-30,0.0,0.0,0.0,1.3952960175606863,1.160604317112642,1.592436519456871,0.919991202516256,0.0,0.3352490421455935,1.002523438954632,0.3352490421455935,2.634024308761142,2.627576933796845,3.6365477477157704,2.307242671958405,2.6457154015861453
1987-12-31,0.196850393700787,0.0,0.0,1.304890242660584,2.1712392645395298,0.9026627018350765,1.5380543163175049,0.0,0.3262896208825355,1.258678816801535,0.0,6.683984119814875,5.0385708596830945,4.744067142715721,2.558418215163425,6.0066015519941995
1988-03-31,0.0,0.2117789431222265,0.0,0.423557886244453,0.8614477220131604,0.2117789431222265,0.437889835768707,0.0,0.0,1.20589071533123,0.6029453576656165,4.8127268315258505,3.3443917957750804,3.93172581007539,2.41926575167846,2.731253109643695
1988-06-30,0.0,0.219619326500732,0.2241695536987975,0.887577760399059,1.3477481722827924,1.1354099230701389,0.448339107397595,0.0,0.2931769722814495,1.498765003525535,0.0,4.779367851930075,3.3117989687014955,3.2978849303743454,3.30462101765967,1.4970809817042046
1988-09-30,0.480559196155526,0.8882869254718471,0.0,0.4196642685851315,1.7580629264273087,1.1649822569692079,1.3807826608961815,0.0,0.2997430773622605,1.207954064301545,0.0,4.260656441841895,3.0368120695843617,2.126527880896055,2.7550325019271122,1.514605694767285
1988-12-30,0.404279065349544,0.6950853305315765,0.404279065349544,2.2669567723775703,2.6712358377271146,1.585525507195535,0.640511415265788,0.0,0.0,3.524551817313305,0.5742641555317021,4.420215616136945,2.9257039925857247,3.519335940777845,2.01960844069116,2.0441921098870397
1989-03-31,0.0,0.0,0.2258263190309995,2.2137486873783145,1.542531198711375,0.885336374267075,0.662640789449106,0.0,0.2950987939440595,1.5072200060652694,0.304793571626489,5.70117675927055,4.20629323418539,5.0871846441237,1.198021462544907,1.796150559519269
1989-06-30,0.914848214876231,0.738585496866605,0.0,2.783934150555095,1.8538144648357802,0.653381578410943,0.4771188604013185,0.0,0.56906363166063,2.298570067176825,0.584714535746786,7.408834853294644,3.6965919746042397,2.8199071095157056,1.161216680918851,2.02225064192123
1989-09-29,0.242769685454929,0.225612376450365,0.0,0.469175354877644,1.4230967876927947,0.0,0.711945040332573,0.0,0.310307609282245,0.310307609282245,0.3032928942807625,4.28091465664286,2.748125756618125,2.148684402205695,1.8406717915414075,1.5304939014067749
1989-12-29,0.2179080824088745,0.23680649526387,0.23680649526387,0.23680649526387,1.1181645173591095,0.0,0.43905806230433053,0.2179080824088745,1.2191942036735175,1.51037940847189,0.8903002521930039,2.43979489770916,2.746318249943284,3.9292101972967948,0.8903002521930039,1.199636585151384
