date,GSCP,lead_GSCP_1M,rfr,lead_date
1985-03-29,180.6600036621094,179.8300018310547,8.180000305175781,1985-04-30
1985-06-28,191.8500061035156,190.9199981689453,6.829999923706055,1985-07-31
1985-09-30,182.0800018310547,189.8200073242188,7.039999961853027,1985-10-31
1985-12-31,211.2799987792969,211.7799987792969,7.050000190734863,1986-01-31
1986-03-31,238.8999938964844,235.5200042724609,6.340000152587891,1986-04-30
1986-06-30,250.8399963378906,236.1199951171875,5.960000038146973,1986-07-31
1986-09-30,231.3200073242188,243.9799957275391,5.199999809265137,1986-10-31
1986-12-31,242.1699981689453,274.0799865722656,5.670000076293945,1987-01-30
1987-03-31,291.7000122070312,288.3599853515625,5.610000133514404,1987-04-30
1987-06-30,304.0,318.6600036621094,5.730000019073486,1987-07-31
1987-09-30,321.8299865722656,251.7899932861328,6.610000133514404,1987-10-30
1987-12-31,247.0800018310547,257.0700073242188,5.679999828338623,1988-01-29
1988-03-31,258.8900146484375,261.3299865722656,5.710000038146973,1988-04-29
1988-06-30,273.5,272.0199890136719,6.559999942779541,1988-07-29
1988-09-30,271.9100036621094,278.9700012207031,7.25,1988-10-31
1988-12-30,277.7200012207031,297.4700012207031,8.100000381469727,1989-01-31
1989-03-31,294.8699951171875,309.6400146484375,8.899999618530273,1989-04-28
1989-06-30,317.9800109863281,346.0799865722656,7.989999771118164,1989-07-31
1989-09-29,349.1499938964844,340.3599853515625,7.909999847412109,1989-10-31
1989-12-29,353.3999938964844,329.0799865722656,7.550000190734863,1990-01-31
1990-03-30,339.9400024414062,330.7999877929688,7.800000190734863,1990-04-30
1990-06-29,358.0199890136719,356.1499938964844,7.739999771118164,1990-07-31
1990-09-28,306.0499877929688,304.0,7.139999866485596,1990-10-31
1990-12-31,330.2200012207031,343.9299926757812,6.440000057220459,1991-01-31
1991-03-28,375.2200012207031,375.3399963378906,5.739999771118164,1991-04-30
1991-06-28,371.1600036621094,387.8099975585938,5.539999961853027,1991-07-31
1991-09-30,387.8599853515625,392.4500122070312,5.110000133514404,1991-10-31
1991-12-31,417.0899963378906,408.7799987792969,3.880000114440918,1992-01-31
1992-03-31,403.6900024414062,414.9500122070312,4.050000190734863,1992-04-30
