date,GSPCprem
1985-01-02,100.87178233782946
1985-01-03,109.15929437178274
1985-01-04,114.98059181507435
1985-01-07,120.66618496745951
1985-01-08,125.38882525610143
1985-01-09,103.67943312496435
1985-01-10,99.49076760677823
1985-01-11,95.86694049269809
1985-01-14,70.3482926622075
1985-01-15,66.17671046268204
1985-01-16,62.28738612732509
1985-01-17,58.750999619331495
1985-01-18,48.57561748849101
1985-01-22,17.943948847650294
1985-01-23,18.55285991291792
1985-01-24,19.543147745751984
1985-01-25,18.274766200647488
1985-01-28,31.716315883965795
1985-01-29,11.467900379410164
1985-01-30,11.167689865835538
1985-01-31,-1.2360672921983227
1985-02-01,-2.2784086320449415
1985-02-04,-16.497161099373812
1985-02-05,-20.232402495397864
1985-02-06,-13.241026530036553
1985-02-07,-32.12779187617663
1985-02-08,-36.881447213313066
1985-02-11,-34.66834021594528
1985-02-13,-50.585247557713984
1985-02-14,-27.07061144416179
1985-02-15,-24.842009813605408
1985-02-19,-21.273153533311568
1985-02-20,-22.413746230147687
1985-02-21,-23.214402350160228
1985-02-22,-14.612176281150576
1985-02-25,-6.304470744336557
1985-02-26,-19.14652242898669
1985-02-27,-8.782043402466346
1985-02-28,-7.903830862390841
1985-03-01,-26.342673841626976
1985-03-04,-28.14411958635845
1985-03-05,-29.752251693962737
1985-03-06,-26.09378715909284
1985-03-07,-17.490242560763903
1985-03-08,-6.435999327006154
1985-03-11,0.9265598479781367
1985-03-12,-2.662300428144359
1985-03-13,9.78484116945972
1985-03-14,13.9520690306083
1985-03-15,26.598172826255883
1985-03-18,18.35561232390867
1985-03-19,1.9435323382786702
1985-03-20,2.3254509061567603
1985-03-21,8.487786629871787
1985-03-22,13.071778058521925
1985-03-25,28.39513593468636
1985-03-26,16.87997509839179
1985-03-27,-1.0446375044169578
1985-03-28,-6.251655963051599
1985-03-29,-23.390950508251805
1985-04-01,-23.111171879533796
1985-04-02,-11.211172945166576
1985-04-03,-2.264148825490887
1985-04-04,3.46579307102475
1985-04-08,9.337707135003532
1985-04-09,16.89170476043128
1985-04-10,24.404741445488284
1985-04-11,21.395583418623865
1985-04-12,14.083611796898671
1985-04-15,15.940580468713424
1985-04-16,21.606469551487063
1985-04-17,30.122851627408888
1985-04-18,51.2150502717916
1985-04-19,48.728130047878494
1985-04-22,44.52701708952709
1985-04-23,29.959175373230988
1985-04-24,31.951518590795274
1985-04-25,21.151135613056525
1985-04-26,28.41790797479407
1985-04-29,39.4610787830834
1985-04-30,57.01126597527439
1985-05-01,65.91718058512731
1985-05-02,66.17999735029714
1985-05-03,59.45015880114701
1985-05-06,66.07404528394875
1985-05-07,51.45663047298875
1985-05-08,51.24322410775734
1985-05-09,39.22566758024339
1985-05-10,13.954405158020238
1985-05-13,-3.0298557490021665
1985-05-14,13.48018339457506
1985-05-15,5.51032035570066
1985-05-16,3.4885107238431976
1985-05-17,-12.458115392751708
1985-05-20,-26.17211585890458
1985-05-21,-7.489825966753416
1985-05-22,-3.5352504445446193
1985-05-23,6.448695306286539
1985-05-24,4.1004995908716815
1985-05-28,14.326637618254246
1985-05-29,19.422491035884875
1985-05-30,22.732070691307577
1985-05-31,8.433672683309414
1985-06-03,6.480884349464569
1985-06-04,8.699931055041201
1985-06-05,4.249471730231446
1985-06-06,-7.04277297069399
1985-06-07,9.868151551101388
1985-06-10,14.489221127407719
1985-06-11,19.828418127362422
1985-06-12,25.594828482942155
1985-06-13,53.82965040457533
1985-06-14,48.13690572544616
1985-06-17,43.73129943786867
1985-06-18,43.23863634721886
1985-06-19,42.89832845475256
1985-06-20,30.57164437968482
1985-06-21,5.427704444515257
1985-06-24,11.401562587349073
1985-06-25,9.732946971874954
1985-06-26,-9.89429213641252
1985-06-27,-15.057734943497799
1985-06-28,-12.6470937187132
1985-07-01,-8.865481539416898
1985-07-02,-10.262319887213515
1985-07-03,-12.222414063671591
1985-07-05,-35.38008619010357
1985-07-08,-33.492188863458814
1985-07-09,-20.150303095367413
1985-07-10,-32.203739121263425
1985-07-11,-40.07579536430826
1985-07-12,-44.27758610755962
1985-07-15,-40.10349602013521
1985-07-16,-52.97374684075346
1985-07-17,-65.56391092510606
1985-07-18,-56.53779594848186
1985-07-19,-50.51572939938516
1985-07-22,-39.28529271941123
1985-07-23,-39.60486078330241
1985-07-24,-34.86294720955658
1985-07-25,-36.84822600137619
1985-07-26,-34.00905163494282
1985-07-29,-12.123444779915648
1985-07-30,-13.598117653912286
1985-07-31,-21.673421464494986
1985-08-01,-33.50495008385266
1985-08-02,-33.06726352539092
1985-08-05,-28.359020353134113
1985-08-06,-5.280457982149337
1985-08-07,-3.5354517322777
1985-08-08,-20.189336621964323
1985-08-09,-28.124369255241845
1985-08-12,-32.2985442557281
1985-08-13,-35.265996624192255
1985-08-14,-36.095914739618344
1985-08-15,-44.99835682270526
1985-08-16,-35.41735697078198
1985-08-19,-26.38102761518022
1985-08-20,-45.59298144038441
1985-08-21,-37.871045668941974
1985-08-22,-37.388703144376414
1985-08-23,-48.777423027274196
1985-08-26,-45.637109523134875
1985-08-27,-45.455130046017075
1985-08-28,-30.95447305103341
1985-08-29,-37.97206128526287
1985-08-30,-34.30431639515672
1985-09-03,-37.06052373137662
1985-09-04,-42.27442337827484
1985-09-05,-41.73250393847394
1985-09-06,-43.72409521119012
1985-09-09,-42.1185335458168
1985-09-10,-24.051798962889734
1985-09-11,-0.4302737364560718
1985-09-12,20.78543380044609
1985-09-13,23.952866315383478
1985-09-16,20.11651125165383
1985-09-17,29.853414933875914
1985-09-18,34.692782541259206
