date,GSPCprem,lead_GSPCprem_1
1985-01-02,-148.73812453619396,-129.7365910711827
1985-01-03,-129.7365910711827,-144.0846701940704
1985-01-04,-144.0846701940704,20.919661830487748
1985-01-07,20.919661830487748,-46.138498683325906
1985-01-08,-46.138498683325906,175.07283312220844
1985-01-09,175.07283312220844,469.826203746573
1985-01-10,469.826203746573,-67.62857643096909
1985-01-11,-67.62857643096909,122.30921911109246
1985-01-14,122.30921911109246,36.638028153056425
1985-01-15,36.638028153056425,48.33301258993713
1985-01-16,48.33301258993713,-75.4552227638784
1985-01-17,-75.4552227638784,79.34658494394597
1985-01-18,79.34658494394597,145.23645260154515
1985-01-22,145.23645260154515,253.66417666087176
1985-01-23,253.66417666087176,-91.49734594054921
1985-01-24,-91.49734594054921,83.64808910984635
1985-01-25,83.64808910984635,-5.272379643834839
1985-01-28,-5.272379643834839,245.13214666733947
1985-01-29,245.13214666733947,21.715491544924916
1985-01-30,21.715491544924916,25.885025709343083
1985-01-31,25.885025709343083,-148.3383669167718
1985-02-01,-148.3383669167718,72.69232622700007
1985-02-04,72.69232622700007,28.148590493465207
1985-02-05,28.148590493465207,-33.25599578014439
1985-02-06,-33.25599578014439,186.0182840059177
1985-02-07,186.0182840059177,43.11080829203694
1985-02-08,43.11080829203694,-85.68796354291705
1985-02-11,-85.68796354291705,190.02914021515733
1985-02-13,190.02914021515733,-137.43585870150844
1985-02-14,-137.43585870150844,-120.0914198247155
1985-02-15,-120.0914198247155,-17.556887572304102
1985-02-19,-17.556887572304102,-29.017243636210864
1985-02-20,-29.017243636210864,-145.93596463901414
1985-02-21,-145.93596463901414,-124.50772858744972
1985-02-22,-124.50772858744972,-14.478543005615371
1985-02-25,-14.478543005615371,264.38718556219555
1985-02-26,264.38718556219555,-72.33291579309972
1985-02-27,-72.33291579309972,57.08951543731597
1985-02-28,57.08951543731597,276.6312451300509
1985-03-01,276.6312451300509,-62.29742193060924
1985-03-04,-62.29742193060924,14.83045122264096
1985-03-05,14.83045122264096,-227.17337173733455
1985-03-06,-227.17337173733455,-167.71566019348936
1985-03-07,-167.71566019348936,-66.35505606411814
1985-03-08,-66.35505606411814,-23.119964062569323
1985-03-11,-23.119964062569323,114.15577465272874
1985-03-12,114.15577465272874,-214.72963597783877
1985-03-13,-214.72963597783877,-58.0985900203216
1985-03-14,-58.0985900203216,-194.34718850560498
1985-03-15,-194.34718850560498,8.244683718334688
1985-03-18,8.244683718334688,370.4571295384537
