date,dp,dy,ep,de,rvol,bm,ntis,tbl,lty,ltr,tms,dfy,dfr,infl
1985-01-31,-3.16627027601404,-3.0948010027216606,-2.3841083260439224,-0.7821619499701176,0.0016358537,0.6902554458,-0.0299050052,0.0776,0.1127,0.0364,0.03509999999999999,0.011799999999999991,-0.0039000000000000007,0.0018993352
1985-02-28,-3.169202999417874,-3.1605559747506016,-2.397805316029988,-0.7713976833878862,0.0007453029,0.6917391609,-0.0245189175,0.0827,0.1209,-0.0493,0.0382,0.010999999999999996,0.011999999999999997,0.0047393365
1985-03-29,-3.1606048279691974,-3.1635342206955164,-2.399945418965959,-0.7606594090032384,0.0008022605,0.7236457791,-0.0248157693,0.0852,0.1181,0.0307,0.0329,0.011300000000000004,-0.012800000000000002,0.0037735849
1985-04-30,-3.152520397500262,-3.157125249044854,-2.4113310680399884,-0.7411893294602736,0.0004598982,0.7286615901,-0.022411793,0.0795,0.1162,0.0242,0.036699999999999997,0.012799999999999992,0.005400000000000002,0.0046992481
1985-05-31,-3.2017067303954363,-3.1490658486101983,-2.480222307424026,-0.7214844229714101,0.0008338607,0.6968929839,-0.0254809306,0.0748,0.1062,0.0896,0.0314,0.014300000000000007,-0.007599999999999996,0.0037418148
1985-06-28,-3.2103121290913257,-3.1982511543607077,-2.508802082165621,-0.7015100469257045,0.0007415227,0.6864301439,-0.0266075139,0.0695,0.1055,0.0142,0.03599999999999999,0.014600000000000002,-0.005900000000000001,0.0027958993
1985-07-31,-3.2011597074973737,-3.2060190320526396,-2.512092468400805,-0.6890672390965689,0.0007186333,0.6803220899,-0.024638663,0.0708,0.1091,-0.018,0.0383,0.014599999999999988,0.005899999999999999,0.0018587361
1985-08-30,-3.1848050850104626,-3.196872152790525,-2.5082355634703317,-0.6765695215401308,0.0006297046,0.687176258,-0.0242274732,0.0714,0.1068,0.0259,0.0354,0.014499999999999999,9.99999999999994e-05,0.0018552876
1985-09-30,-3.14520731657565,-3.180548589995317,-2.4811789840308958,-0.664028332544754,0.0008658483,0.6899588298,-0.0312943542,0.071,0.1082,-0.0021,0.03720000000000001,0.014099999999999988,0.0092,0.0027777778
1985-10-31,-3.1842896482612306,-3.142659544496851,-2.536473925441161,-0.6478157228200696,0.0009117579,0.6670256347,-0.0270693422,0.0716,0.1051,0.0338,0.0335,0.013399999999999995,-0.000899999999999998,0.0036934441
1985-11-29,-3.2447810237564476,-3.181748350832558,-2.613354004618177,-0.6314270191382705,0.0009430719,0.622703158,-0.027715873,0.0724,0.1011,0.0401,0.02869999999999999,0.01440000000000001,-0.0030999999999999986,0.0027598896
1985-12-31,-3.286321508515901,-3.2422461681532595,-2.671478042226269,-0.6148434662896318,0.001230101,0.5926926882,-0.0194650815,0.071,0.0956,0.0541,0.02460000000000001,0.014200000000000004,-0.007200000000000005,0.0027522936
1986-01-31,-3.283634724743264,-3.2812709927298327,-2.675897273421796,-0.607737451321468,0.0019201437,0.5835173999,-0.0191717774,0.0707,0.0958,-0.0025,0.025099999999999997,0.013899999999999996,0.006999999999999999,0.0027447392
1986-02-28,-3.3476591209966493,-3.278609588540591,-2.747006538840865,-0.6006525821557842,0.0010893091,0.5363767217,-0.0179142569,0.0706,0.0841,0.1145,0.013499999999999998,0.01440000000000001,-0.0393,-0.0027372263
1986-03-31,-3.394106632453341,-3.3426591105799437,-2.800518044935114,-0.593588587518227,0.0013737528,0.5196276277,-0.0164196221,0.0656,0.0766,0.077,0.010999999999999996,0.015,-0.0514,-0.0045745654
1986-04-30,-3.376533766045745,-3.390782984836997,-2.781918797121896,-0.5946149689238487,0.0024589753,0.5297144587,-0.0245847833,0.0606,0.0782,-0.008,0.017600000000000005,0.013999999999999999,0.009600000000000001,-0.0018382353
1986-05-30,-3.4222420170445624,-3.3732335149113566,-2.826589283557275,-0.5956527334872876,0.0013699394,0.5035407708,-0.0218719553,0.0615,0.0848,-0.0505,0.0233,0.01200000000000001,0.034100000000000005,0.0027624309
1986-06-30,-3.432951223996427,-3.4189402759953245,-2.836287751061474,-0.5966634729349529,0.0015965679,0.4992814574,-0.0122932373,0.0621,0.079,0.0613,0.0169,0.0121,-0.0395,0.0055096419
1986-07-31,-3.3671446471072026,-3.427619782409534,-2.7726429334330507,-0.5945017136741519,0.0024158617,0.5323014009,-0.0112860333,0.0583,0.0809,-0.0108,0.022600000000000002,0.012799999999999992,0.013900000000000001,0.0
1986-08-29,-3.430601884338913,-3.361829264108708,-2.8382626417144303,-0.5923392426244827,0.0012606214,0.497803344,-0.0096769523,0.0553,0.0763,0.0499,0.021000000000000005,0.014600000000000002,-0.0224,0.001826484
1986-09-30,-3.3360160186010392,-3.4253267559137153,-2.745802168041309,-0.5902138505597301,0.0042073784,0.5346292671,-0.0051386604,0.0521,0.0827,-0.05,0.030599999999999995,0.013099999999999987,0.0386,0.0045578851
1986-10-31,-3.3872731343953415,-3.3339889129647675,-2.8074240819316594,-0.5798490524636821,0.0009906128,0.5032458023,-0.0080245039,0.0518,0.0803,0.0289,0.028499999999999998,0.013800000000000007,-0.009999999999999998,0.000907441
1986-11-28,-3.4065120170284997,-3.3852622312343694,-2.8370885099435146,-0.5694235070849851,0.0017308775,0.4936710845,-0.0021244383,0.0535,0.0779,0.0267,0.024399999999999998,0.013899999999999996,-0.0034000000000000002,0.0009066183
1986-12-31,-3.375796990475242,-3.4044930721175537,-2.81687157191484,-0.5589254185604022,0.0012623237,0.4984308658,-0.0113759993,0.0553,0.0789,-0.0018,0.023599999999999996,0.014799999999999994,0.0135,0.0009057971
